Price,Bedrooms,Bathrooms,Size
R9100000,2,2,N/A
R7085000,1,1,N/A
R7250000,2,2,N/A
R3295000,1,1.5,96m²
R1995000,1,1,37m²
R3250000,2,2,97m²
R2950000,2,2,109m²
R595000,N/A,1,22m²
R6995000,6,5,804m²
R1949000,5,2.5,259m²
R23950000,3,3.5,266m²
R100000000,N/A,N/A,5849m²
R8500000,N/A,N/A,2000m²
R2250000,2,1,187m²
R2600000,2,1,89m²
R2600000,2,1,103m²
R11350000,4,3.5,650m²
R3800000,3,2,107m²
N/A,N/A,N/A,N/A
R2100000,N/A,1,34m²
R2595000,2,1,181m²
R1950000,2,1,112m²
R7450000,3,3.5,216m²
R2999999,1,1,66m²
R2795000,4,2,620m²
R1395000,1,1,47m²
R2849500,2,2,72m²
R1950000,2,1,112m²
R3100000,2,1,83m²
R795000,0.5,1,36m²
R1200000,1,1,39m²
R1599999,1,1,54m²
R2795000,1,1,51m²
R4695000,2,2,88m²
R3850000,3,1.5,669m²
R450000,3,N/A,160m²
R5850000,2,2.5,95m²
R1495000,3,2,N/A
R2290000,4,3,624m²
R1600000,3,1,127m²
N/A,N/A,N/A,N/A
R1270000,8,3,182m²
R6900000,1,1.5,81m²
R4500000,4,3,1044m²
R1595000,3,2,411m²
POA,10,10,833m²
POA,N/A,N/A,808m²
R140000000,N/A,N/A,N/A
R820000,2,1,44m²
R1899500,4,2,469m²
R33000000,7,7,1205m²
R2350000,3,2,188m²
R2850000,1,1,75m²
R3095000,3,1.5,495m²
R1750000,1,1,46m²
R3500000,3,2,239m²
R6900000,1,1.5,81m²
R3200000,4,2,325m²
R19995000,6,6,1800m²
R1825000,1,1,55m²
R12000000,3,3,216m²
R3000000,1,1,50m²
N/A,N/A,N/A,N/A
R1980000,1,1,56m²
R7000000,N/A,N/A,885m²
R1700000,1,1,33m²
R1050000,N/A,1,30m²
R1800000,13,5,328m²
R480000,1,1,113m²
R1985000,N/A,N/A,397m²
R1750000,2,1,59m²
R1750000,2,1,59m²
R4000000,2,2,91m²
R6750000,4,4.5,2032m²
R11600000,3,3,486m²
R7750000,2,2,429m²
R1630000,1,1,43m²
R1895000,2,1,86m²
R3600000,1,1,63m²
R20000000,N/A,N/A,1192m²
R650000,1,1,51m²
R7990000,5,3,990m²
R3900000,4,1,584m²
R1450000,1,1,20m²
N/A,N/A,N/A,N/A
R16750000,4,4.5,764m²
R1299999,0.5,1,28m²
R2995000,2,1,71m²
R2400000,1,1,46m²
R2600000,1,1,41m²
R2499000,3,3,173m²
R2420000,2,2,65m²
R1295000,0.5,1,31m²
R22260000,N/A,N/A,700m²
R2950000,2,2,72m²
R27500000,4,4.5,616m²
R26704500,N/A,N/A,704m²
R59000000,6,6,1095m²
R3450000,3,2,643m²
R1595000,1,1,79m²
R1600000,3,1,76m²
R3300000,3,2.5,131m²
R2495000,3,2,472m²
R26704500,N/A,N/A,704m²
R21950000,2,2.5,145m²
R2700000,2,2,166m²
N/A,N/A,N/A,N/A
R2850000,2,2,167.5m²
R1455000,0.5,1,42m²
R2399000,3,1,401m²
R7495000,4,3,1152m²
R2250000,3,1.5,810m²
R1795000,2,1,78m²
R2195000,0.5,1,47m²
R800000,1,1,60m²
R12600000,N/A,N/A,720m²
R3050000,1,1,41m²
R1400000,3,1,246m²
R1595000,1.5,1,61m²
R9790000,N/A,N/A,262m²
R1350000,2,1,67m²
R2250000,2,1.5,111m²
R2850000,2,2,167.5m²
R450000,5,2,176m²
R8750000,3,2.5,498m²
R3150000,2,2,71m²
R4895000,3,2,743m²
R2000000,2,2,64m²
N/A,N/A,N/A,N/A
R895000,2,1,55m²
R3990000,2,2,88m²
R2695000,3,1,108m²
R1750000,1,1,64m²
R1950000,1,1,62m²
R2500000,N/A,N/A,677m²
POA,10,10,833m²
R2295000,1,1,66m²
R24975000,N/A,N/A,677m²
R799500,2,1,160m²
R1530000,3,1,147m²
R49500000,7,7,898m²
R4499000,2,2,81m²
R7995000,3,2,1527m²
R3750000,3,2,520m²
R2995000,2,2,78m²
R2195000,3,2,495m²
R8450000,5,5,827m²
R2100000,5,3,508m²
R1250000,3,1,313m²
R799500,2,1,160m²
N/A,N/A,N/A,N/A
R26900000,8,11,1801m²
R2450000,1,1,83m²
R5250000,2,2.5,121m²
R68500000,3,3.5,284m²
R2495000,4,2.5,560m²
R745000,2,1,N/A
R17500000,4,4.5,330m²
R1395000,2,1,87m²
R8750000,3,3.5,266m²
R1150000,3,2,235m²
R1400000,3,2,469m²
R5650000,2,2.5,185m²
R5250000,2,2.5,121m²
R2300000,1,1,59m²
R3850000,2,2,92m²
R1750000,2,1,252m²
R1900000,2,1,87m²
R3400000,2,1.5,96m²
R1300000,3,2,225m²
R1495000,1,1,49m²
R1600000,1,1,52m²
